loaded 1891 documents
121 batches
batch 1/121 ok | docs=0.0 chunks=0.0 | 1s elapsed
batch 2/121 ok | docs=0.0 chunks=0.0 | 2s elapsed
batch 3/121 ok | docs=0.0 chunks=0.0 | 4s elapsed
batch 4/121 ok | docs=0.0 chunks=0.0 | 5s elapsed
batch 5/121 ok | docs=0.0 chunks=0.0 | 6s elapsed
batch 6/121 ok | docs=0.0 chunks=0.0 | 7s elapsed
batch 7/121 ok | docs=0.0 chunks=0.0 | 8s elapsed
batch 8/121 ok | docs=0.0 chunks=0.0 | 8s elapsed
batch 9/121 ok | docs=0.0 chunks=0.0 | 9s elapsed
batch 10/121 ok | docs=0.0 chunks=0.0 | 10s elapsed
batch 11/121 ok | docs=0.0 chunks=0.0 | 10s elapsed
batch 12/121 ok | docs=0.0 chunks=0.0 | 11s elapsed
batch 13/121 ok | docs=0.0 chunks=0.0 | 12s elapsed
batch 14/121 ok | docs=9.0 chunks=253.0 | 14s elapsed
batch 15/121 ok | docs=19.0 chunks=522.0 | 15s elapsed
batch 16/121 ok | docs=38.0 chunks=893.0 | 18s elapsed
batch 17/121 ok | docs=56.0 chunks=1164.0 | 20s elapsed
batch 18/121 ok | docs=77.0 chunks=1368.0 | 22s elapsed
batch 19/121 ok | docs=86.0 chunks=1519.0 | 23s elapsed
batch 20/121 ok | docs=101.0 chunks=1750.0 | 25s elapsed
batch 21/121 ok | docs=102.0 chunks=2095.0 | 26s elapsed
batch 22/121 ok | docs=115.0 chunks=2380.0 | 28s elapsed
batch 23/121 ok | docs=139.0 chunks=2606.0 | 30s elapsed
batch 24/121: rate limited (attempt 1), backing off 2.0s
batch 24/121 ok | docs=146.0 chunks=2807.0 | 37s elapsed
batch 25/121 ok | docs=157.0 chunks=3697.0 | 40s elapsed
batch 26/121 ok | docs=165.0 chunks=6321.0 | 50s elapsed
batch 27/121 ok | docs=177.0 chunks=7657.0 | 55s elapsed
batch 28/121 ok | docs=201.0 chunks=8560.0 | 60s elapsed
batch 29/121 ok | docs=219.0 chunks=8927.0 | 63s elapsed
batch 30/121 ok | docs=236.0 chunks=9348.0 | 66s elapsed
batch 31/121 ok | docs=255.0 chunks=9856.0 | 69s elapsed
batch 32/121 ok | docs=277.0 chunks=10256.0 | 73s elapsed
batch 33/121 ok | docs=289.0 chunks=10517.0 | 75s elapsed
batch 34/121 ok | docs=302.0 chunks=10809.0 | 77s elapsed
batch 35/121 ok | docs=319.0 chunks=11046.0 | 79s elapsed
batch 36/121 ok | docs=340.0 chunks=11376.0 | 81s elapsed
batch 37/121 ok | docs=362.0 chunks=11766.0 | 84s elapsed
batch 38/121 ok | docs=387.0 chunks=12248.0 | 87s elapsed
batch 39/121 ok | docs=401.0 chunks=13030.0 | 90s elapsed
batch 40/121 ok | docs=414.0 chunks=13753.0 | 94s elapsed
batch 41/121 ok | docs=426.0 chunks=14525.0 | 97s elapsed
batch 42/121 ok | docs=444.0 chunks=15070.0 | 100s elapsed
batch 43/121 ok | docs=477.0 chunks=15395.0 | 103s elapsed
batch 44/121 ok | docs=501.0 chunks=15728.0 | 106s elapsed
batch 45/121 ok | docs=511.0 chunks=15946.0 | 108s elapsed
batch 46/121 ok | docs=532.0 chunks=16201.0 | 110s elapsed
batch 47/121 ok | docs=550.0 chunks=16482.0 | 112s elapsed
batch 48/121 ok | docs=570.0 chunks=16716.0 | 114s elapsed
batch 49/121 ok | docs=588.0 chunks=16914.0 | 116s elapsed
batch 50/121 ok | docs=597.0 chunks=17164.0 | 117s elapsed
batch 51/121 ok | docs=614.0 chunks=17304.0 | 120s elapsed
batch 52/121 ok | docs=629.0 chunks=17516.0 | 121s elapsed
batch 53/121 ok | docs=640.0 chunks=17750.0 | 123s elapsed
batch 54/121 ok | docs=644.0 chunks=17978.0 | 124s elapsed
